0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2.3,6.7,11.1,15.5,19.7,23.9,28,32.1,36.1,40,43.8,47.6,51.3,55,58.6,62.1,65.6,69,72.3,75.6,78.7,81.9,84.9,87.9,90.8,93.6,96.3,99,101.5,103.9,106.3,108.5,110.6,112.5,114.3,115.9,117.3,118.4,119.2,119.6,119.8,120,120.1
2.3,6.8,11.2,15.5,19.7,23.9,28,32.1,36.1,40,43.8,47.6,51.3,55,58.6,62.1,65.6,69,72.3,75.6,78.8,81.9,84.9,87.9,90.8,93.6,96.3,99,101.5,103.9,106.3,108.5,110.6,112.5,114.3,115.9,117.3,118.4,119.2,119.6,119.8,120,120.1
2.3,6.8,11.2,15.5,19.8,23.9,28.1,32.1,36.1,40,43.8,47.6,51.3,55,58.6,62.1,65.6,69,72.3,75.6,78.8,81.9,84.9,87.9,90.8,93.6,96.3,99,101.5,104,106.3,108.5,110.6,112.5,114.3,115.9,117.3,118.4,119.2,119.6,119.9,120,120.1
2.3,6.8,11.2,15.5,19.8,24,28.1,32.1,36.1,40,43.9,47.7,51.4,55,58.6,62.1,65.6,69,72.3,75.6,78.8,81.9,85,87.9,90.8,93.6,96.4,99,101.5,104,106.3,108.5,110.6,112.5,114.3,115.9,117.3,118.4,119.2,119.6,119.9,120,120.1
2.4,6.8,11.2,15.6,19.8,24,28.1,32.2,36.1,40.1,43.9,47.7,51.4,55.1,58.6,62.2,65.6,69,72.4,75.6,78.8,81.9,85,88,90.8,93.7,96.4,99,101.6,104,106.3,108.5,110.6,112.6,114.3,115.9,117.3,118.5,119.2,119.6,119.9,120,120.1
2.4,6.9,11.3,15.6,19.8,24,28.1,32.2,36.2,40.1,43.9,47.7,51.4,55.1,58.7,62.2,65.7,69.1,72.4,75.6,78.8,82,85,88,90.9,93.7,96.4,99,101.6,104,106.4,108.6,110.6,112.6,114.4,116,117.3,118.5,119.2,119.6,119.9,120,120.1
2.4,6.9,11.3,15.6,19.9,24.1,28.2,32.2,36.2,40.1,44,47.8,51.5,55.1,58.7,62.2,65.7,69.1,72.4,75.7,78.9,82,85,88,90.9,93.7,96.4,99.1,101.6,104.1,106.4,108.6,110.7,112.6,114.4,116,117.4,118.5,119.3,119.6,119.9,120.1,120.1
2.5,7,11.4,15.7,20,24.1,28.2,32.3,36.3,40.2,44,47.8,51.5,55.2,58.8,62.3,65.8,69.1,72.5,75.7,78.9,82,85.1,88.1,91,93.8,96.5,99.1,101.7,104.1,106.4,108.6,110.7,112.6,114.4,116,117.4,118.5,119.3,119.7,119.9,120.1,
2.6,7,11.4,15.8,20,24.2,28.3,32.4,36.3,40.2,44.1,47.9,51.6,55.2,58.8,62.3,65.8,69.2,72.5,75.8,79,82.1,85.1,88.1,91,93.8,96.5,99.2,101.7,104.1,106.5,108.7,110.7,112.7,114.5,116.1,117.4,118.5,119.3,119.7,119.9,120.1,
2.6,7.1,11.5,15.8,20.1,24.3,28.4,32.4,36.4,40.3,44.2,47.9,51.6,55.3,58.9,62.4,65.9,69.3,72.6,75.8,79,82.2,85.2,88.2,91.1,93.9,96.6,99.2,101.8,104.2,106.5,108.7,110.8,112.7,114.5,116.1,117.5,118.6,119.3,119.7,119.9,120.1,
