Tv,T,k_Tz
1000,1000,1.935117155676002e-34
1000,2000,1.8891326829000788e-29
1000,3000,5.552891011552725e-27
1000,4000,2.0916213519314353e-25
1000,5000,2.8281621957781935e-24
1000,6000,2.090858407652478e-23
1000,7000,1.0428527356984134e-22
1000,8000,3.95233167332308e-22
1000,9000,1.2248011100814858e-21
1000,10000,3.2566657047333914e-21
2000,1000,3.0916056142628255e-24
2000,2000,3.5002036976836766e-21
2000,3000,1.1304039419982374e-19
2000,4000,1.0377215831110521e-18
2000,5000,5.0893835555766594e-18
2000,6000,1.725352580593839e-17
2000,7000,4.598200153110993e-17
2000,8000,1.0360985909412145e-16
2000,9000,2.064430096605832e-16
2000,10000,3.7460618420067257e-16
3000,1000,3.2161157673171394e-20
3000,2000,6.242387863580005e-18
3000,3000,8.413777650398286e-17
3000,4000,4.418167386902529e-16
3000,5000,1.4506272795311693e-15
3000,6000,3.6123459736904455e-15
3000,7000,7.512781261895277e-15
3000,8000,1.3780448091483509e-14
3000,9000,2.305507043421696e-14
3000,10000,3.5965445112741864e-14
4000,1000,5.3737261510976564e-18
4000,2000,3.9143071739637844e-16
4000,3000,3.2463092079065476e-15
4000,4000,1.2497393682180995e-14
4000,5000,3.283092059940603e-14
4000,6000,6.887447272963948e-14
4000,7000,1.248006132080464e-13
4000,8000,2.0418467679378785e-13
4000,9000,3.0998982493432156e-13
4000,10000,4.4460930732220153e-13
5000,1000,1.4643346982329184e-16
5000,2000,5.650739348342755e-15
5000,3000,3.4207718305431854e-14
5000,4000,1.0768560386778915e-13
5000,5000,2.448159331340922e-13
5000,6000,4.595666080965661e-13
5000,7000,7.615670041816974e-13
5000,8000,1.15697957826661e-12
5000,9000,1.6493324612375342e-12
5000,10000,2.2401990490983925e-12
6000,1000,1.5107881398450774e-15
6000,2000,3.716398248403678e-14
6000,3000,1.7998965123650534e-13
6000,4000,4.912942891990758e-13
6000,5000,1.0081592807046265e-12
6000,6000,1.7491639612873987e-12
6000,7000,2.7207753439424927e-12
6000,8000,3.92190757727427e-12
6000,9000,5.346901552069077e-12
6000,10000,6.9874293353285995e-12
7000,1000,8.673137070308529e-15
7000,2000,1.5211041186476096e-13
7000,3000,6.229844160520405e-13
7000,4000,1.5276692462807188e-12
7000,5000,2.902571753092144e-12
7000,6000,4.746576027560279e-12
7000,7000,7.040129326255696e-12
7000,8000,9.75536228112303e-12
7000,9000,1.2861380836281961e-11
7000,10000,1.632701476901136e-11
8000,1000,3.393259623238377e-14
8000,2000,4.565872690171161e-13
8000,3000,1.6399161575761918e-12
8000,4000,3.697629691773455e-12
8000,5000,6.614433338824719e-12
8000,6000,1.0326652661306321e-11
8000,7000,1.4756314576404787e-11
8000,8000,1.9825110656858546e-11
8000,9000,2.545987942002527e-11
8000,10000,3.159443996574847e-11
9000,1000,1.0177088409043252e-13
9000,2000,1.105555207258599e-12
9000,3000,3.571259955350186e-12
9000,4000,7.524563940175393e-12
9000,5000,1.2820375973795412e-11
9000,6000,1.9280031134278638e-11
9000,7000,2.6733484380410223e-11
9000,8000,3.5030757560080366e-11
9000,9000,4.4043251870966126e-11
9000,10000,5.366184394827214e-11
10000,1000,2.517825650502143e-13
10000,2000,2.2913271149637914e-12
10000,3000,6.7799467150978965e-12
10000,4000,1.3506085241270707e-11
10000,5000,2.2103045613375223e-11
10000,6000,3.222608636912526e-11
10000,7000,4.358554215358938e-11
10000,8000,5.59455572175812e-11
10000,9000,6.911550525564504e-11
10000,10000,8.294111243952309e-11
